rating_binary,Visual Appeal_binary,Reliability_binary,Performance_binary,Service Experience_binary,Comfort_binary,Value for Money_binary
1,1,0,1,0,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
1,1,1,1,1,1,1
0,1,0,0,1,1,0
1,1,1,1,1,1,1
0,1,0,0,0,1,0
0,1,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
0,1,0,0,0,1,0
0,0,0,0,0,0,0
1,1,1,1,1,1,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,1,0,0,0,1,1
0,0,0,0,0,0,0
1,1,1,1,1,1,1
0,0,0,0,0,0,0
1,1,1,1,1,1,1
0,0,0,0,0,0,0
0,0,0,0,0,0,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,1,0,0,0,1,1
0,0,0,0,0,0,0
0,0,0,0,0,0,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,1,1,0,1,1,1
0,1,0,0,0,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,1,0,0,0,1,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,1,1,0,0,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,0,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,1,0,0,0,1,0
1,1,1,1,1,1,1
1,1,0,1,0,1,1
1,1,1,1,1,1,1
1,1,1,1,0,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,1,0,0,0,0,0
0,1,0,0,0,0,0
1,1,0,1,1,1,1
0,1,1,0,0,0,1
1,1,1,1,0,0,1
1,1,1,1,1,1,1
1,1,1,1,0,1,1
1,1,1,1,1,1,1
1,1,1,1,0,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,1,0,0,0,0,0
0,1,0,1,0,0,0
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,1,0,1,0,0,0
0,1,0,0,0,0,0
0,1,0,1,0,0,0
0,1,0,0,0,0,0
0,0,0,1,0,0,0
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,1,0,0,0,0,0
1,1,0,1,1,1,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,1,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,0,1,0,1,1
1,1,1,1,1,1,1
0,0,0,0,0,1,0
1,1,0,1,0,1,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,0,0,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
1,1,1,1,1,1,1
0,0,0,0,0,0,0
1,1,0,1,0,1,1
1,1,1,1,1,1,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,1,0,0,0,1,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,1,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,0
1,1,1,1,1,1,1
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,1,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,0,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,0
0,1,0,0,1,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,1,0,0,0,1,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,1,1,0,0,1,1
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,0,1,1,1,0,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,1,0,0,1,0,0
1,1,1,0,0,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,1,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,0,0,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
1,1,0,1,0,1,1
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,1,0,0,0,0,0
0,0,0,0,0,0,0
1,1,1,1,1,1,1
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,1,0,1,0,1,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
0,0,0,1,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,1,1,0,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,1,0,1,1,1
0,1,0,0,0,0,0
0,1,1,0,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,0,0,0,1,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,1,0,0,0,0,0
0,1,1,0,1,0,0
0,1,1,0,0,1,0
1,1,1,1,1,1,1
0,1,0,1,0,0,0
1,1,0,1,0,1,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,1,1,1,1,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,1,0,0,0,1,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,1,1,1,1,1
0,1,1,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,1,1,1,1,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,1,1,1,1,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,1,1,0,1,1
0,0,0,0,0,0,0
0,1,0,0,0,0,0
0,1,1,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,0,1,1,1,1
0,1,0,0,0,1,0
1,1,1,1,1,0,1
1,1,1,1,1,1,1
0,1,1,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,0,1,0,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,1,0,0,0,0,0
1,1,1,1,1,1,1
0,1,0,0,0,0,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,1,0,0,1,0,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,0,1,0,1,1
0,0,0,0,0,0,0
1,1,1,1,1,1,1
0,1,1,0,1,0,1
1,1,1,1,1,1,1
1,1,1,1,0,1,1
1,1,1,1,1,1,1
0,0,0,0,0,1,0
0,0,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
1,1,0,1,0,1,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,1,1,1,1,1
0,0,0,0,0,0,0
0,1,0,0,0,0,0
0,1,1,0,0,0,0
1,1,1,1,1,1,1
0,1,0,1,0,0,0
0,0,0,0,0,0,0
0,1,0,1,0,0,0
0,1,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,0,1,0,1,1
0,1,0,1,0,0,0
1,1,1,1,1,1,1
0,1,0,0,0,0,0
1,1,1,1,0,1,1
0,0,0,0,0,0,0
1,1,0,1,0,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,0,1,0,0,0
1,1,1,1,1,1,1
0,1,0,1,0,0,0
1,1,1,1,1,1,0
0,0,0,0,0,0,0
1,1,1,1,0,1,1
1,1,1,1,1,1,1
0,0,1,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,0,1,0,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,0,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
1,1,1,1,1,1,1
0,0,0,0,0,0,0
0,1,0,0,0,0,0
0,0,1,1,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,1,1,1,1,1
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,1,1,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
0,1,0,0,0,0,0
1,1,1,1,1,1,1
0,1,0,0,0,0,0
0,1,1,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,1,0,0,0,0,0
0,1,0,0,0,0,0
1,1,1,1,1,1,1
0,0,0,0,0,0,0
0,1,1,1,1,0,0
0,0,0,0,0,0,0
0,0,0,1,0,0,0
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
1,1,1,1,1,1,1
0,0,0,0,0,0,0
0,1,0,1,0,0,0
0,0,0,0,0,0,0
0,1,1,1,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,1,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,1,0
0,0,0,0,0,0,0
1,1,1,1,1,1,1
0,0,0,0,0,0,1
0,0,0,0,0,0,0
0,1,1,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,1,1,0,0,1,1
0,0,0,0,0,0,0
1,1,0,1,1,1,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
0,1,0,0,0,1,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,1,0,0,0,1,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,0,1,1
0,1,0,1,0,0,0
0,1,0,0,1,1,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,1,0,0,1,1,0
0,0,0,0,0,0,0
1,1,1,1,1,1,1
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,0,1,1
1,1,1,1,1,1,1
0,0,0,1,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,0,0,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,0,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,0,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,1,0,0,1,1,0
0,1,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
0,1,1,0,1,0,1
1,1,0,1,0,0,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,1,0,1,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,1,1,0,0,0,0
0,0,0,1,0,0,0
0,1,0,0,0,0,0
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,0,1,1,1,1
0,1,0,0,0,0,0
0,0,0,0,0,0,0
0,1,0,1,0,0,0
1,1,1,1,1,1,1
1,1,1,1,0,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,0,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,1,0,0,0,1,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,1,0,1,0,0,0
1,1,1,1,1,1,1
0,0,0,0,0,0,0
1,1,1,1,0,1,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,0,0,0,0,0,0
0,1,0,0,0,1,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,1,1,0,1,1,0
1,1,1,1,1,1,1
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,1,0,1,0,0,0
1,1,1,1,1,1,1
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,0,1,1,1,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,1,1,1,1,1
0,1,0,0,0,0,0
1,1,1,1,1,1,1
0,1,0,0,0,0,0
0,1,0,1,0,0,0
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,1,0,0,0,0,0
1,1,1,1,1,1,1
0,1,0,0,0,0,0
1,1,0,1,0,1,0
1,1,1,1,1,1,1
1,1,1,1,0,1,1
1,1,1,1,1,1,1
0,1,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,0,1,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,0,0,0,0,1
1,1,1,1,1,1,1
0,0,0,1,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
